CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,GROSS BUILDING FLOOR AREA (ft²),NUMBER OF BUILDINGS,OCCUPANCY,POSTAL CODE,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),YEAR BUILT
1617.7,-31.9,-31.9,490000.0,1.0,85.0,90017,Office,46.9,131.2,7183.1,1987.0
49.7,-54.8,-54.8,38382.0,1.0,100.0,90024,Multifamily Housing,22.5,33.8,4855.6,1970.0
115.8,-78.4,-78.4,158213.0,1.0,100.0,90012,Mixed Use Property,10.6,26.6,7553.3,1989.0
106.1,53.8,53.8,28020.0,1.0,100.0,90068,Multifamily Housing,60.1,123.1,1533.5,1963.0
66.4,-15.9,-15.9,21134.0,1.0,100.0,90004,Multifamily Housing,53.7,85.9,2131.2,1961.0
87.0,-9.3,-9.3,17235.0,1.0,100.0,90045,Office,81.8,151.0,265.2,1990.0
309.3,-46.3,-46.3,134189.0,1.0,100.0,90006,Enclosed Mall,32.7,91.6,9198.6,2001.0
82.1,22.4,22.4,33468.0,1.0,100.0,90016,Multifamily Housing,42.5,64.6,1254.2,1950.0
36.1,-72.9,-72.9,39690.0,1.0,100.0,91352,Multifamily Housing,16.7,20.0,362.4,1990.0
362.9,271.2,271.2,78000.0,1.0,100.0,91605,Non-Refrigerated Warehouse,72.4,157.4,1400.4,1980.0
474.8,-13.0,-13.0,102049.0,1.0,100.0,90008,Medical Office,72.4,157.4,1832.1,1959.0
136.7,-37.8,-37.8,56000.0,1.0,100.0,90046,Multifamily Housing,43.6,58.3,2751.3,1974.0
284.8,12.7,12.7,125252.0,12.0,100.0,91304,Multifamily Housing,37.4,68.2,3727.5,1981.0
160.8,477.5,477.5,12400.0,1.0,100.0,90023,Other,184.1,515.6,965.0,1943.0
971.2,284.1,284.1,80000.0,3.0,100.0,90049,Other,193.2,342.9,50363.3,1940.0
360.2,-22.9,-22.9,160710.0,1.0,95.0,91316,Multifamily Housing,36.5,76.6,9166.6,2004.0
267237.8,61862.9,61862.9,156039.0,1.0,100.0,90045,Mixed Use Property,22582.8,70910.1,291.0,1952.0
989.0,43.6,43.6,105561.0,1.0,100.0,90089,College/University,159.2,259.4,605.2,2013.0
137.0,-48.2,-48.2,117674.0,1.0,90.0,90014,Other,16.5,46.3,2555.3,1924.0
5.5,-95.0,-95.0,48751.0,1.0,100.0,91343,Multifamily Housing,1.6,4.5,4129.5,1963.0
29.0,-23.6,-23.6,10500.0,1.0,100.0,90291,Library,39.2,109.7,927.5,1995.0
277.6,-79.0,-79.0,260629.0,1.0,65.0,90045,Office,14.0,44.1,3306.4,1972.0
191.9,-10.6,-10.6,65746.0,1.0,100.0,90028,Multifamily Housing,50.4,77.3,319.4,1962.0
69.0,-12.8,-12.8,19308.0,1.0,100.0,91402,Fire Station,50.6,134.6,223.4,2007.0
12.7,-89.7,-89.7,100870.0,1.0,100.0,91405,Self-Storage Facility,1.7,4.9,102.0,2009.0
57.3,-10.3,-10.3,82000.0,1.0,85.0,90015,Non-Refrigerated Warehouse,9.9,27.8,155.6,2004.0
18.3,-91.0,-91.0,89852.0,1.0,95.0,91406,Multifamily Housing,2.9,8.1,7400.4,1975.0
485.7,-56.2,-56.2,193805.0,1.0,100.0,90094,Office,37.0,93.5,2656.2,2010.0
83.2,-50.4,-50.4,86704.0,1.0,100.0,91311,Non-Refrigerated Warehouse,13.6,38.2,568.2,1989.0
723.0,-51.8,-51.8,185795.0,1.0,95.0,91367,Office,52.0,158.6,3893.5,2001.0
1581.0,-39.8,-39.8,358204.0,1.0,100.0,90028,Office,51.4,158.6,6456.1,1971.0
256.9,-29.2,-29.2,115261.0,1.0,95.0,91335,Multifamily Housing,36.6,67.2,6321.2,1976.0
35.5,-61.2,-61.2,76000.0,3.0,90.0,91405,Self-Storage Facility,6.6,18.6,229.7,2003.0
994.9,51.6,51.6,114223.0,1.0,100.0,90089,College/University,140.4,273.9,3072.5,2012.0
7.7,-88.6,-88.6,30000.0,1.0,100.0,90004,Multifamily Housing,3.7,10.3,3158.4,1970.0
195.6,-12.9,-12.9,75566.0,1.0,95.0,90731,Multifamily Housing,44.2,70.7,2423.7,1984.0
15316.3,330.8,330.8,1215400.0,6.0,90.0,90049,Museum,185.0,366.6,78310.1,1997.0
489.7,-46.2,-46.2,132431.0,1.0,100.0,90094,Office,53.6,134.5,2259.8,2010.0
67.2,27.5,27.5,12932.0,1.0,100.0,90731,Fire Station,73.3,196.9,1260.6,1985.0
197.5,-23.4,-23.4,68544.0,1.0,100.0,90017,Multifamily Housing,48.6,81.4,8277.9,1928.0
27.1,-54.0,-54.0,100000.0,1.0,100.0,90248,Distribution Center,3.8,10.8,87.8,1979.0
26.4,-50.4,-50.4,10800.0,1.0,100.0,91352,Office,32.2,101.2,138.6,1988.0
177.3,-66.6,-66.6,292359.0,1.0,100.0,90032,Non-Refrigerated Warehouse,8.0,25.1,157.4,1963.0
45.3,-32.2,-32.2,21518.0,1.0,100.0,91405,Multifamily Housing,33.6,67.5,1142.4,1964.0
349.1,7.8,7.8,61949.0,1.0,100.0,90015,Medical Office,86.4,196.5,1200.6,1988.0
176.3,18.2,18.2,49884.0,1.0,90.0,91401,Multifamily Housing,58.0,106.6,3953.5,1987.0
1570.5,36.7,36.7,249699.0,1.0,85.0,90024,Hotel,98.8,199.5,11756.4,1969.0
49.5,-6.4,-6.4,61961.0,1.0,100.0,90037,Distribution Center,11.3,31.7,44.2,1975.0
4785.9,466.3,466.3,215598.0,1.0,100.0,90048,Laboratory,303.0,697.2,33708.1,1989.0
176.0,-12.0,-12.0,79001.0,3.0,100.0,91344,Multifamily Housing,34.5,76.2,2966.8,2003.0
340.5,147.0,147.0,36188.0,1.0,95.0,91402,Multifamily Housing,171.3,211.3,3883.1,1986.0
31.0,-29.7,-29.7,22584.0,1.0,100.0,90027,Multifamily Housing,19.8,53.4,742.8,1975.0
264.5,1.5,1.5,104920.0,1.0,95.0,91604,Multifamily Housing,40.2,81.2,3012.9,1991.0
40.5,20.8,20.8,9273.0,1.0,100.0,90057,Library,62.0,173.5,15.9,1998.0
129.9,48.7,48.7,35250.0,1.0,100.0,91602,Multifamily Housing,58.7,118.9,2233.4,1968.0
23.8,-36.3,-36.3,8378.0,1.0,100.0,90064,Fire Station,42.6,98.3,180.9,2010.0
95.7,-5.2,-5.2,31456.0,1.0,100.0,90013,Office,43.2,121.0,142.1,2000.0
95.9,-12.2,-12.2,30988.0,1.0,90.0,91606,Multifamily Housing,52.7,85.0,3963.2,1968.0
56.2,2.7,2.7,15150.0,1.0,100.0,91601,Library,52.7,147.6,0.0,2002.0
356.4,16.5,16.5,146664.0,1.0,100.0,90014,Multifamily Housing,37.2,85.2,2904.7,1928.0
61.8,3.2,3.2,23191.0,1.0,100.0,90029,Multifamily Housing,44.2,78.3,882.7,1987.0
555.6,3.1,3.1,343495.0,1.0,100.0,90014,Multifamily Housing,25.7,52.4,5773.5,1930.0
146.1,151.6,151.6,16093.0,1.0,100.0,90731,Other - Public Services,136.9,309.8,1481.2,1990.0
6.2,-87.0,-87.0,21000.0,1.0,80.0,91403,Multifamily Housing,4.2,11.7,881.0,1984.0
169.0,56.6,56.6,45879.0,1.0,100.0,90027,Multifamily Housing,58.7,118.9,2906.9,1986.0
1222.1,-12.0,-12.0,262679.0,1.0,100.0,90731,Office,72.4,157.4,4715.9,1990.0
54.7,-58.2,-58.2,108804.0,1.0,100.0,91342,Self-Storage Facility,7.1,20.0,308.0,2012.0
210.5,-48.5,-48.5,133720.0,1.0,100.0,91304,Office,22.2,60.0,4951.9,1999.0
2314.5,60.9,60.9,311160.0,0.0,100.0,90017,Office,107.1,289.2,5424.1,1980.0
64.6,-47.6,-47.6,60000.0,1.0,80.0,90014,Other - Entertainment/Public Assembly,14.2,44.6,222.9,1914.0
254.0,-39.0,-39.0,136412.0,1.0,100.0,90057,Multifamily Housing,29.9,56.6,9260.5,1979.0
3191.6,367.7,367.7,112526.0,1.0,100.0,90015,Mixed Use Property,361.8,947.9,8331.8,2008.0
