CARBON_DIOXIDE_EMISSIONS_Metric_Ton_CO2e_,X_DIFFERENCE_FROM_NATIONAL_MEDIAN_SOURCE_EUI,X_DIFFERENCE_FROM_NATIONAL_MEDIAN_SITE_EUI,GROSS_BUILDING_FLOOR_AREA_ft_,NUMBER_OF_BUILDINGS,OCCUPANCY,POSTAL_CODE,PROPERTY_TYPE,SITE_ENERGY_USE_INTENSITY_EUI_kBtu_ft_,Source_EUI_kBtu_ft_,TOTAL_WATER_USE_kgal_,YEAR_BUILT
485.7,-56.2,-56.2,193805,1,100,90094,Office,37,93.5,2656.2,2010
83.2,-50.4,-50.4,86704,1,100,91311,Non-Refrigerated Warehouse,13.6,38.2,568.2,1989
723,-51.8,-51.8,185795,1,95,91367,Office,52,158.6,3893.5,2001
1581,-39.8,-39.8,358204,1,100,90028,Office,51.4,158.6,6456.1,1971
256.9,-29.2,-29.2,115261,1,95,91335,Multifamily Housing,36.6,67.2,6321.2,1976
35.5,-61.2,-61.2,76000,3,90,91405,Self-Storage Facility,6.6,18.6,229.7,2003
994.9,51.6,51.6,114223,1,100,90089,College/University,140.4,273.9,3072.5,2012
7.7,-88.6,-88.6,30000,1,100,90004,Multifamily Housing,3.7,10.3,3158.4,1970
195.6,-12.9,-12.9,75566,1,95,90731,Multifamily Housing,44.2,70.7,2423.7,1984
15316.3,330.8,330.8,1215400,6,90,90049,Museum,185,366.6,78310.1,1997
489.7,-46.2,-46.2,132431,1,100,90094,Office,53.6,134.5,2259.8,2010
67.2,27.5,27.5,12932,1,100,90731,Fire Station,73.3,196.9,1260.6,1985
197.5,-23.4,-23.4,68544,1,100,90017,Multifamily Housing,48.6,81.4,8277.9,1928
27.1,-54,-54,100000,1,100,90248,Distribution Center,3.8,10.8,87.8,1979
26.4,-50.4,-50.4,10800,1,100,91352,Office,32.2,101.2,138.6,1988
177.3,-66.6,-66.6,292359,1,100,90032,Non-Refrigerated Warehouse,8,25.1,157.4,1963
45.3,-32.2,-32.2,21518,1,100,91405,Multifamily Housing,33.6,67.5,1142.4,1964
349.1,7.8,7.8,61949,1,100,90015,Medical Office,86.4,196.5,1200.6,1988
176.3,18.2,18.2,49884,1,90,91401,Multifamily Housing,58,106.6,3953.5,1987
1570.5,36.7,36.7,249699,1,85,90024,Hotel,98.8,199.5,11756.4,1969
49.5,-6.4,-6.4,61961,1,100,90037,Distribution Center,11.3,31.7,44.2,1975
4785.9,466.3,466.3,215598,1,100,90048,Laboratory,303,697.2,33708.1,1989
176,-12,-12,79001,3,100,91344,Multifamily Housing,34.5,76.2,2966.8,2003
340.5,147,147,36188,1,95,91402,Multifamily Housing,171.3,211.3,3883.1,1986
31,-29.7,-29.7,22584,1,100,90027,Multifamily Housing,19.8,53.4,742.8,1975
264.5,1.5,1.5,104920,1,95,91604,Multifamily Housing,40.2,81.2,3012.9,1991
40.5,20.8,20.8,9273,1,100,90057,Library,62,173.5,15.9,1998
129.9,48.7,48.7,35250,1,100,91602,Multifamily Housing,58.7,118.9,2233.4,1968
23.8,-36.3,-36.3,8378,1,100,90064,Fire Station,42.6,98.3,180.9,2010
95.7,-5.2,-5.2,31456,1,100,90013,Office,43.2,121,142.1,2000
95.9,-12.2,-12.2,30988,1,90,91606,Multifamily Housing,52.7,85,3963.2,1968
56.2,2.7,2.7,15150,1,100,91601,Library,52.7,147.6,0,2002
356.4,16.5,16.5,146664,1,100,90014,Multifamily Housing,37.2,85.2,2904.7,1928
61.8,3.2,3.2,23191,1,100,90029,Multifamily Housing,44.2,78.3,882.7,1987
555.6,3.1,3.1,343495,1,100,90014,Multifamily Housing,25.7,52.4,5773.5,1930
146.1,151.6,151.6,16093,1,100,90731,Other - Public Services,136.9,309.8,1481.2,1990
6.2,-87,-87,21000,1,80,91403,Multifamily Housing,4.2,11.7,881,1984
169,56.6,56.6,45879,1,100,90027,Multifamily Housing,58.7,118.9,2906.9,1986
1222.1,-12,-12,262679,1,100,90731,Office,72.4,157.4,4715.9,1990
54.7,-58.2,-58.2,108804,1,100,91342,Self-Storage Facility,7.1,20,308,2012
210.5,-48.5,-48.5,133720,1,100,91304,Office,22.2,60,4951.9,1999
2314.5,60.9,60.9,311160,0,100,90017,Office,107.1,289.2,5424.1,1980
64.6,-47.6,-47.6,60000,1,80,90014,Other - Entertainment/Public Assembly,14.2,44.6,222.9,1914
254,-39,-39,136412,1,100,90057,Multifamily Housing,29.9,56.6,9260.5,1979
3191.6,367.7,367.7,112526,1,100,90015,Mixed Use Property,361.8,947.9,8331.8,2008
587.2,10.4,10.4,164043,5,95,90036,Multifamily Housing,61,98.3,1301.7,2005
533.4,36.5,36.5,155108,1,100,91343,Multifamily Housing,50.8,121.7,9814.2,2002
89.7,257.7,257.7,10720,1,100,90044,Other - Recreation,110.3,346.3,9910.2,1977
487,-9.6,-9.6,194546,1,95,90292,Multifamily Housing,41.2,75.3,8630.3,2000
