CARBON_DIOXIDE_EMISSIONS_Metric_Ton_CO2e_,X_DIFFERENCE_FROM_NATIONAL_MEDIAN_SOURCE_EUI,X_DIFFERENCE_FROM_NATIONAL_MEDIAN_SITE_EUI,GROSS_BUILDING_FLOOR_AREA_ft_,NUMBER_OF_BUILDINGS,OCCUPANCY,POSTAL_CODE,PROPERTY_TYPE,SITE_ENERGY_USE_INTENSITY_EUI_kBtu_ft_,Source_EUI_kBtu_ft_,TOTAL_WATER_USE_kgal_,YEAR_BUILT
172.2,-28.7,-28.7,80000,2,100,90038,Multifamily Housing,37.9,54.1,1372.7,2015
545.7,76.3,76.3,117297,1,100,90015,Mixed Use Property,72.4,157.4,2105.9,1960
36.4,-45.5,-45.5,50000,1,60,90068,Worship Facility,10.3,29,1132.1,1929
167.6,-14.9,-14.9,125252,12,100,91304,Multifamily Housing,17.6,55.4,2934.6,1981
88.6,-29.2,-29.2,32340,1,100,90006,Multifamily Housing,46.5,75.8,1716.9,1928
644.8,172.5,172.5,56712,1,100,91604,Retail Store,178.9,376.4,3364.7,1992
10.7,-88,-88,29083,1,100,90006,Medical Office,5.2,14.7,437.4,1987
314.1,-19.4,-19.4,135389,1,100,90731,Multifamily Housing,34,82.9,4856.6,1976
216.3,-26.7,-26.7,65746,1,100,90028,Multifamily Housing,54.5,93.8,3530.8,1962
423.2,-18,-18,144285,1,100,91607,Multifamily Housing,50.9,74.7,2267.3,1995
79.4,169.8,169.8,8250,1,100,90011,Fire Station,147.3,336.9,1673.4,2010
55.1,-60.3,-60.3,25685,1,95,91406,Multifamily Housing,39.3,46.9,2202.2,1969
66.9,-11,-11,22764,1,90,91331,Multifamily Housing,49,85.4,2147.7,1971
120.9,-94.2,-94.2,442413,1,100,90012,Mixed Use Property,4.7,7.1,13545.6,2007
476.7,-15.9,-15.9,37993,1,100,91436,Supermarket/Grocery Store,178.1,498.7,2355.2,1960
173.5,6.3,6.3,62984,1,100,90006,Multifamily Housing,45.5,82.1,3437.3,1930
85.5,-74.5,-74.5,75000,1,95,90046,Multifamily Housing,19.2,31.2,4113.3,1987
195,-0.1,-0.1,15000,1,95,90066,Multifamily Housing,206,405.5,3282.9,1974
48.2,-4.6,-4.6,19500,1,80,90013,Multifamily Housing,38.4,84,562.3,1999
541.2,-39.8,-39.8,56496,1,95,90031,Food Service,150.6,317.8,3491.5,1945
174.8,-58.5,-58.5,192306,1,95,90036,Multifamily Housing,12,37.6,10640.4,1951
488.8,-3.5,-3.5,37238,1,100,91303,Supermarket/Grocery Store,190.1,505.4,2093,1968
68.6,-82.5,-82.5,67489,1,100,91306,Medical Office,13.6,41.2,217.7,1980
212.8,-25.9,-25.9,150824,1,95,90036,Multifamily Housing,22.7,44.4,3841.2,1987
84.6,-68.7,-68.7,131697,4,100,91311,Movie Theater,8.5,26.6,13164.6,1997
928.2,571.4,571.4,116695,1,100,91406,Distribution Center,116.2,301.8,2172.3,1998
83.4,56.6,56.6,22638,1,100,90028,Multifamily Housing,58.7,118.9,1434.3,1954
389.3,-15.1,-15.1,142638,1,95,91324,Multifamily Housing,44.2,84.9,8693.1,1997
46.3,-35.4,-35.4,20806,1,95,91607,Multifamily Housing,36,69.4,1465.8,1964
23,-50.6,-50.6,35000,1,100,91406,Distribution Center,9.3,26.1,734.2,2005
8,-89.3,-89.3,25000,1,100,91335,Multifamily Housing,4.5,12.7,1469.3,1961
88.5,-16.1,-16.1,33372,1,95,90045,Multifamily Housing,44.1,77.4,2244.3,1975
1059.7,82.8,82.8,131657,1,90,90089,Residence Hall/Dormitory,143.4,188.7,2648.3,2007
3864.8,62.9,62.9,1008692,2,100,90012,Stadium (Open),44.2,138.7,33770.6,1962
4,-85.1,-85.1,20160,1,100,91405,Distribution Center,2.8,7.9,666.8,1972
56,-28.7,-28.7,38600,1,100,91342,Distribution Center,20.6,57.7,61.3,1989
256.1,-23.7,-23.7,72705,1,100,90045,Office,53.9,123.4,681.5,1960
601,166.2,166.2,110520,1,95,90014,Multifamily Housing,75.1,212.1,7296.5,1902
79,-24.6,-24.6,35499,1,95,90034,Multifamily Housing,36,69.4,2500.9,2018
197.3,-8.4,-8.4,88040,1,95,90066,Multifamily Housing,36.8,67.4,2004.9,2004
37.2,-48.8,-48.8,45303,2,100,90010,Worship Facility,12.3,29.9,448.2,1926
1006.2,123.6,123.6,142082,0,100,91402,Retail Store,81.8,255.9,4969.5,1998
59.4,-29.8,-29.8,30240,1,100,90027,Multifamily Housing,32,60.5,1605.4,1952
144.4,-15.1,-15.1,52398,1,95,90024,Multifamily Housing,42.8,89.3,1.5,2006
376.5,-54.4,-54.4,246000,1,100,90036,Automobile Dealership,22.7,56.6,3595.1,2009
6.4,-82.6,-82.6,7703,1,100,90710,Office,14.1,22.2,724.4,2015
86,-88.7,-88.7,200000,1,100,91606,Senior Care Community,8.1,8.5,4805.5,2001
510.3,-24,-24,215061,1,95,90020,Multifamily Housing,38.1,81.7,9147.9,1989
41.9,13.7,13.7,10365,1,100,90034,Fire Station,61.8,141.9,383.7,1942
777.1,97.5,97.5,121793,1,100,91605,Laboratory,89.6,243.2,4137,1953
655.2,-4.8,-4.8,192306,1,95,90036,Multifamily Housing,60.6,82.4,5840,1951
88.3,-16.9,-16.9,37720,2,100,90026,Performing Arts,33.2,93.1,146.2,1963
108.7,-94.7,-94.7,442413,1,100,90012,Mixed Use Property,4.2,6.6,13286.2,2007
348.7,-38.9,-38.9,82884,1,100,90031,College/University,59.1,160.4,2780.9,2011
144.6,-32.5,-32.5,75852,1,95,90004,Multifamily Housing,29.3,62.9,3019.9,1990
3472.9,-51.7,-51.7,1003459,1,100,90017,Office,45.6,143.3,43707.6,1985
3503.8,19.3,19.3,548000,1,90,91608,Hotel,102.9,193.3,44329.5,1983
59.7,-67.1,-67.1,57229,1,100,90012,Multifamily Housing,17.7,28,1432.4,1992
689.1,-26.8,-26.8,401800,1,95,90034,Multifamily Housing,27.4,52.7,13563.7,1973
405.5,55.5,55.5,64621,1,100,90065,Office,89.8,246.4,5693.4,2001
16.7,-31.5,-31.5,16868,7,100,91311,Non-Refrigerated Warehouse,13.1,41.1,235.9,1979
3.1,-96.6,-96.6,30630,2,100,90034,Multifamily Housing,1.4,4.1,1520.2,1971
152.7,-31.3,-31.3,52797,1,95,91423,Office,41.1,115,507.8,1985
2608.4,54.6,54.6,420000,1,95,90010,Office,88.2,246.9,7359,1970
155.7,-11.9,-11.9,49557,1,95,90024,Multifamily Housing,49.5,99.1,3839,1987
4199.2,221.4,221.4,281747,1,80,90017,Office,211.6,592.4,4108.3,1925
40.6,-51.7,-51.7,28288,1,100,91406,Multifamily Housing,20.4,57.1,2760.3,1961
130.6,-20.2,-20.2,56466,1,95,91316,Multifamily Housing,34.8,79.4,984.4,2015
64.8,-43.6,-43.6,24186,1,100,91042,Multifamily Housing,45.6,74.2,1510.3,1982
144.3,-35.1,-35.1,56500,1,85,91307,Office,36.2,101.5,1482.6,1982
69.4,-13.8,-13.8,29809,1,100,91306,Multifamily Housing,37.5,73.5,1648.7,1963
57.7,-30,-30,74000,1,100,91311,Non-Refrigerated Warehouse,11.1,31,1164.7,1977
149.2,151.7,151.7,16093,1,100,90731,Other - Public Services,141.5,309.9,1443.6,1990
273.6,-62.6,-62.6,122335,1,75,90028,Office,29.5,92.6,1541.2,1923
1899.6,192.8,192.8,129469,1,100,91406,Refrigerated Warehouse,208.3,583.2,18490.1,1998
26,-76.9,-76.9,26083,1,100,91607,Multifamily Housing,18.2,22.5,1433.6,1983
190,63,63,80500,7,100,90065,Non-Refrigerated Warehouse,31.1,97.7,562.8,1966
181.9,-20.4,-20.4,73300,1,100,91601,Multifamily Housing,37.7,83.8,2339.7,1990
50.8,-65.3,-65.3,40282,1,90,91604,Multifamily Housing,22.1,32.2,2680.3,1986
13.7,-89.8,-89.8,45234,1,85,90020,Multifamily Housing,4.3,12.1,2550.7,1990
38.8,-0.7,-0.7,10800,1,100,90744,Library,51,142.7,451.6,1988
24.9,-69.7,-69.7,21156,1,100,90045,Multifamily Housing,20.8,29.2,647.9,1993
157.3,-29.9,-29.9,86282,1,95,90004,Multifamily Housing,27.8,61.1,2961.5,1989
43.6,-21.8,-21.8,18484,1,100,90012,Mixed Use Property,33.5,93.8,812.4,1890
95.6,19.2,19.2,20039,1,100,90015,Wholesale Club/Supercenter,74.1,162.2,905.1,1999
36.8,-59.3,-59.3,75000,1,95,91405,Self-Storage Facility,7,19.5,114.3,2001
361.5,-17,-17,153921,13,100,91304,Multifamily Housing,38.7,70,6198.4,1986
489.8,-19.5,-19.5,104945,0,90,90017,Medical Office,63.8,184.5,145.2,1984
523.2,-38.5,-38.5,176396,1,85,90064,Office,42.1,117.9,1948.1,1985
121.5,27.5,27.5,52000,1,100,90064,Multifamily Housing,37.4,74.8,1612.1,2015
34.5,15.9,15.9,27000,1,100,91352,Non-Refrigerated Warehouse,18.5,49.1,267.8,1979
240.2,-31.5,-31.5,82135,1,100,90007,Residence Hall/Dormitory,48.9,81.6,2905.4,1964
113.4,-21.2,-21.2,67272,1,95,90048,Multifamily Housing,26.7,55.1,2381.7,1968
176.3,-60.6,-60.6,87000,1,75,90021,Mixed Use Property,26.7,83.9,204.3,1988
69.8,-2.7,-2.7,35340,1,100,90034,Multifamily Housing,31.5,63.5,879.7,1971
12.5,-63.6,-63.6,10280,1,100,90026,Office,16.1,50.5,21.8,1957
348.1,20.5,20.5,89888,1,95,90272,Office,51.1,160.3,1686.7,1981
200.5,-94.4,-94.4,530020,1,100,90045,Office,6.5,10,9528.6,1987
737.1,270.6,270.6,69822,0,100,91367,Movie Theater,150.9,415.1,353.1,2000
24.4,-88.7,-88.7,56300,1,0,90066,Office,6.2,17.2,512.6,1969
301,-17.1,-17.1,123750,1,95,91367,Multifamily Housing,34.5,96.7,12457.3,2003
82.6,-59.4,-59.4,113000,1,100,90023,Distribution Center,10.4,29.1,762.1,1920
47.3,-64.6,-64.6,116363,2,85,90064,Self-Storage Facility,5.4,16.8,28.8,1989
16.8,-90.4,-90.4,59154,1,100,90020,Multifamily Housing,4,11.3,2989.9,1989
20.7,-90.3,-90.3,133625,1,40,90744,Non-Refrigerated Warehouse,2,6.4,403.9,1972
591.7,38.5,38.5,92356,1,100,91356,Medical Office,91.1,240,2197.8,1982
202.1,-4.8,-4.8,70233,1,95,90046,Multifamily Housing,46.4,90.5,1241.8,1974
19.1,-84.5,-84.5,47030,1,100,90046,Multifamily Housing,5.8,16.1,2261.1,1987
387.3,6.8,6.8,28888,1,100,91402,Supermarket/Grocery Store,190.3,532.9,2414.6,1960
305.3,-56.4,-56.4,245058,3,100,91367,Multifamily Housing,20.5,37.2,5858.7,1971
116.7,-42.6,-42.6,67923,1,100,90023,Multifamily Housing,27.3,55.6,1603.1,2001
45.7,-22.4,-22.4,21808,1,100,90025,Office,29.8,83.3,191.5,1981
59.6,-53.2,-53.2,47946,1,95,90024,Multifamily Housing,21.3,33.6,44823.2,1970
104.6,-87.8,-87.8,149259,1,80,91356,Other - Mall,9.2,29,3038.8,2009
157.2,-52.7,-52.7,69610,1,100,90005,Multifamily Housing,38.7,61.3,2563,1929
608.7,9.1,9.1,161565,1,100,91307,Fitness Center/Health Club/Gym,59.9,122.2,2900.6,1966
22.6,-78.2,-78.2,23603,1,95,91602,Multifamily Housing,16.4,25.7,1271.4,1955
103.7,287.4,287.4,10720,1,100,90291,Other - Recreation,134.2,375.1,517.7,1977
392.4,-46,-46,121966,2,100,90058,Refrigerated Warehouse,45.8,127.3,781.9,1959
84.9,-32.7,-32.7,58040,1,100,90066,Multifamily Housing,21.4,52.3,2074.3,1971
46.1,-52.5,-52.5,36941,1,95,90025,Multifamily Housing,22.1,30.5,489.2,1959
68.8,-44.1,-44.1,107133,1,90,91367,Self-Storage Facility,8.5,26.6,9,2002
51.4,-14.3,-14.3,40000,3,100,91304,Worship Facility,18.5,50.1,4138.5,2000
10.7,-86.4,-86.4,54000,2,100,90011,Distribution Center,2.6,8.2,26.3,1975
152.3,22.8,22.8,63786,1,100,90021,Multifamily Housing,34.3,93.3,4041.5,1910
91.6,33.5,33.5,19000,1,100,90028,Library,68.5,191.7,232.6,2006
710.1,-51.2,-51.2,203173,1,80,90034,Office,40.5,126,3550.1,1982
17.7,-80.7,-80.7,73050,1,100,91042,Self-Storage Facility,3.5,9.2,79,1989
42.2,11.3,11.3,10500,1,100,90043,Library,57.1,159.8,149.9,2004
412.5,0.9,0.9,165389,1,100,90049,Multifamily Housing,37.4,86,4584.8,1988
181.4,-27.9,-27.9,79195,1,95,90027,Multifamily Housing,37.5,69.6,3760754,1929
480.7,351.1,351.1,31000,1,85,91356,Office,220.1,616.4,2526.9,1966
1311,18.9,18.9,201409,6,100,90033,Senior Care Community,106.8,196.4,9362.6,1921
379.2,59.6,59.6,60425,1,100,91604,Office,89.1,249.5,1840.3,1985
834.2,-35,-35,154568,1,100,90089,College/University,84.9,170.7,18209.9,1952
228.6,-13.5,-13.5,81675,1,95,90046,Multifamily Housing,45.3,87.3,1591.9,1979
359.7,-31.4,-31.4,137002,1,15,90012,Office,36.5,101.6,3721.6,1931
361.7,-17,-17,35984,1,100,90044,Supermarket/Grocery Store,142.7,399.5,1847.3,1959
24.2,-3.9,-3.9,21372,1,100,90502,Distribution Center,16.1,45.1,389.7,1982
864.8,35.7,35.7,209559,1,95,91411,Multifamily Housing,65.2,135.4,11696.2,2001
68.7,-3.9,-3.9,20415,1,100,90004,Multifamily Housing,58.4,88.2,1083.8,1979
556.4,-11.1,-11.1,192500,1,95,90036,Multifamily Housing,43.9,97.6,7512.7,1986
120.2,-30.1,-30.1,41223,3,100,91402,Multifamily Housing,49.2,82.2,4141.2,1985
19.9,-33.9,-33.9,12400,1,100,90025,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",21.1,66.4,149.3,1956
139.2,-12.5,-12.5,54727,1,95,90028,Multifamily Housing,37.5,90.3,2431.3,2016
16.6,-91.1,-91.1,62847,1,95,91602,Multifamily Housing,3.7,10.5,103.4,2015
485.8,47,47,71600,1,100,90045,Hotel,100.6,238.3,5741.8,1988
6.7,-81.2,-81.2,10443,1,50,91406,Other,9.4,23.2,123.1,1973
60.6,-13.2,-13.2,20128,1,95,91401,Multifamily Housing,50.1,88.2,1434.6,1969
259.9,2.7,2.7,52033,1,100,90067,Office,75.6,178.2,926.2,1980
134.9,19.1,19.1,110000,1,100,90032,Distribution Center,17.4,48.7,754.9,1960
32.8,4,4,7500,1,100,90731,Fire Station,63.1,160.6,269.2,2001
120.6,-56.4,-56.4,110668,1,100,90031,Multifamily Housing,17.8,33.1,2847.1,2002
51.3,-29,-29,20591,1,100,91402,Multifamily Housing,41.3,73.4,1294.1,1960
69.8,-36,-36,31239,1,100,91306,Multifamily Housing,37.1,65.8,2779,1962
34,-74.2,-74.2,57908,1,90,90006,Multifamily Housing,8.3,23.3,1541.7,1920
127.5,-32.6,-32.6,58267,1,95,91403,Multifamily Housing,30.2,85.4,3504,1970
1277.5,-37.9,-37.9,267348,1,90,90025,Office,58,166.3,4593.1,1985
6769.2,-12.1,-12.1,1610247,1,100,90015,Hotel,65.2,143.2,55219,2010
23.5,-79.6,-79.6,23535,1,100,90025,Multifamily Housing,17.8,24.1,1813.5,1986
9.2,-82.9,-82.9,24239,1,100,90020,Multifamily Housing,5.4,15.1,1154.6,1991
694.1,37.9,37.9,102309,1,100,90744,Refrigerated Warehouse,89.5,280.9,1200,1985
19.9,-87,-87,124730,10,100,91340,Self-Storage Facility,2.3,6.2,117.4,1988
22.5,-84.8,-84.8,121800,1,100,90015,Self-Storage Facility,2.6,7.3,65,2001
10.5,-93.3,-93.3,56068,3,100,90005,Retail Store,2.5,7.7,5738.8,1979
548.3,-1.4,-1.4,154934,5,95,90036,Multifamily Housing,60.4,96.7,1229.4,2005
41.4,-79.9,-79.9,154205,1,100,90026,Self-Storage Facility,3.2,9.6,124,2001
235.5,-20.4,-20.4,88500,1,95,91325,Multifamily Housing,41.2,86.9,3756.7,1987
115.2,30.3,30.3,55400,1,100,91352,Non-Refrigerated Warehouse,35.9,55.1,364.3,1962
1654.3,95.7,95.7,207021,1,100,90071,Other - Entertainment/Public Assembly,136.3,219.2,7916.6,1929
86.6,-44.9,-44.9,61115,1,100,90006,Multifamily Housing,23.5,41.7,649.3,2014
89.4,39.5,39.5,24258,1,100,91306,Multifamily Housing,58.7,118.9,1537,1977
204.7,-55.1,-55.1,144090,10,95,90019,Multifamily Housing,19,57.6,5933.5,1964
121.1,-19.6,-19.6,52253,1,95,91423,Multifamily Housing,40.2,60.7,1692.1,1961
48.1,-12.6,-12.6,21760,1,100,90036,Multifamily Housing,36.3,66.4,609.5,1928
183.9,-37.3,-37.3,53365,1,100,90066,Office,55.2,109.9,552.7,1995
613.3,-40.3,-40.3,225459,1,60,90010,Office,41.1,97.4,2736.8,1956
492.7,197.9,197.9,114202,2,100,91342,Distribution Center,56.9,178.6,838.7,1963
65,-6.7,-6.7,26500,1,100,91306,Multifamily Housing,34.8,97.5,3259,1991
18.2,-50.6,-50.6,12648,1,100,90025,Other - Services,21.6,49.6,172.7,2010
234.8,44.7,44.7,46114,1,100,91303,Retail Store,72.3,202.4,2339,1995
676.4,0.9,0.9,193000,1,100,90013,Refrigerated Warehouse,49.8,139.3,448.6,1903
318.8,18,18,98296,1,100,90710,Multifamily Housing,56.2,84.9,9046.9,1979
802.9,3.7,3.7,342720,1,95,91601,Multifamily Housing,37.1,76.3,9231.7,1989
6535.3,-12.1,-12.1,560878,1,100,91405,Hospital (General Medical & Surgical),176.5,394.7,31789.6,1980
526.5,-12.5,-12.5,192500,1,95,90036,Multifamily Housing,43.6,88,6547.7,1986
218.5,-19.8,-19.8,88576,1,95,91605,Multifamily Housing,41.1,72,2.3,1986
121,-36.4,-36.4,67755,1,95,90057,Multifamily Housing,29.3,53.8,3996.1,1976
64,-75,-75,194364,1,100,90248,Self-Storage Facility,3.8,11.9,61,2011
1542.1,-57.1,-57.1,495825,1,90,91367,Office,37.3,109.2,2551.2,1990
194.3,-33.5,-33.5,64347,1,85,91405,Office,45.2,110.2,1341,1971
76.1,1.8,1.8,25720,1,100,90020,Multifamily Housing,51.3,77.3,1763.3,1926
61.1,-40.2,-40.2,69135,1,80,90012,Non-Refrigerated Warehouse,11.8,36,202.3,1941
606.4,-43.3,-43.3,252000,1,95,90014,Office,36.1,87.4,1727,1927
222.6,20.3,20.3,55152,2,100,91316,Multifamily Housing,66.8,114.9,2908.4,1967
5.2,-88.8,-88.8,15898,1,100,91405,Other - Services,5.2,10.9,14.1,1990
378,-2.4,-2.4,81252,1,100,90017,Hotel,72.4,157.4,1458.7,1913
30,-74.7,-74.7,30000,1,100,91606,Multifamily Housing,18.2,22.7,1657.4,1964
66.6,-11,-11,27008,1,100,90020,Multifamily Housing,42,67.6,1595,1929
49,-65.6,-65.6,34941,1,95,91335,Multifamily Housing,25.6,31.2,314.4,1963
283.7,4.2,4.2,68213,1,100,91325,Multifamily Housing,69.8,114.8,5899.9,1969
418.6,28.2,28.2,103355,1,100,91406,Automobile Dealership,57.9,159.1,2244.9,2002
82.2,-26,-26,36027,1,100,91405,Multifamily Housing,37.9,66.7,1912.6,1963
1011.9,-26.6,-26.6,468945,2,95,91364,Multifamily Housing,35.5,64.9,23.8,2015
125.7,-62.5,-62.5,72700,2,100,90048,Multifamily Housing,29,48,1196.2,1969
837.9,-33.2,-33.2,155641,1,100,90064,Office,65,188.1,4523.6,2002
25.3,-86.8,-86.8,64244,1,100,91406,Other,5.2,16.3,0,2008
186.6,47.7,47.7,28140,1,100,91344,Office,103.4,223.9,381.5,1966
163.8,-61.5,-61.5,121223,3,95,91607,Multifamily Housing,23.6,33.7,5604.5,1960
391.4,-2.9,-2.9,156522,1,100,91606,Multifamily Housing,39.7,81.3,6316.5,2001
3423.9,-54.8,-54.8,970000,1,90,90015,Office,51.5,127.1,12223.5,1965
184.1,-28.1,-28.1,70812,1,95,90028,Multifamily Housing,41.7,82.8,1740,2016
61.8,-41.2,-41.2,27792,1,95,90013,Multifamily Housing,36,69.4,1958,1924
23.2,-87.9,-87.9,37002,1,95,91316,Multifamily Housing,11.3,14.4,1163.6,1977
14.9,-81.1,-81.1,61076,1,100,90045,Self-Storage Facility,3.6,9,89,1988
151.8,-70.3,-70.3,164426,1,100,90017,Mixed Use Property,12.6,36.5,11373.5,2004
7.5,-80.9,-80.9,30000,1,75,90031,Distribution Center,3.7,9.2,607.5,1957
2.6,-92.9,-92.9,18000,1,100,90020,Multifamily Housing,2,5.7,857.5,1962
908.2,168,168,63383,1,100,90027,Medical Office,219.7,475.1,2059,2002
0.3,-99.6,-99.6,25000,4,100,90027,Multifamily Housing,0.2,0.5,222.7,1938
38.4,-22.7,-22.7,11680,1,100,90744,Fire Station,54.5,96.5,421.5,2010
271.9,-47.9,-47.9,93342,1,100,90033,Medical Office,40.3,113.4,2976,2014
10.9,-78.5,-78.5,22500,1,100,90001,Other,6.8,19.2,0.4,1926
56.7,6.2,6.2,23671,1,100,90035,Other,34.1,94.8,82.5,2004
9.2,-89.7,-89.7,29923,1,100,90004,Multifamily Housing,4.3,12.2,1884.5,1973
318.8,-58.3,-58.3,132431,1,100,90094,Office,35.4,90.3,1469.5,2010
74.3,-9.1,-9.1,27132,1,100,90005,Multifamily Housing,46.5,75.8,1440.4,1930
2.3,-98,-98,42282,1,100,90247,Multifamily Housing,0.7,2.2,2460.1,2016
8039.9,-32.7,-32.7,860309,1,100,91367,Hospital (General Medical & Surgical),150,296.5,45466.9,1985
62,-20.5,-20.5,27825,1,95,91367,Multifamily Housing,36.6,67.2,1817.4,2003
40.7,9.1,9.1,10325,1,100,90011,Library,55.9,156.7,195.7,1975
174.8,-58.5,-58.5,192306,1,95,90036,Multifamily Housing,12,37.6,10640.4,1951
88.6,-42.3,-42.3,56823,1,100,90020,Multifamily Housing,26.4,43.6,5766,1972
76.8,-23,-23,29515,1,100,91306,Multifamily Housing,44.1,72.8,2147.7,1963
149.2,2.1,2.1,62328,1,90,91423,Multifamily Housing,37.1,81.6,1.6,1969
141.4,61.9,61.9,38378,1,100,90024,Multifamily Housing,58.7,118.9,2431.6,1974
571.6,-39.5,-39.5,340691,1,90,90045,Multifamily Housing,26.9,53.6,7910.6,2015
74.6,6.6,6.6,65046,1,100,91352,Distribution Center,16.4,45.1,71.2,1980
41.8,-1.1,-1.1,9310,1,100,90065,Fire Station,67.9,152.7,319.1,1958
17.9,-87.4,-87.4,24000,1,80,91304,Strip Mall,10.7,28.9,203.3,1961
28.2,-54.2,-54.2,20760,1,100,90048,Multifamily Housing,19.3,54.1,630.6,1969
230.7,-30,-30,65545,1,100,91364,Hotel,46.4,145.7,3948.1,1965
200.2,-42,-42,94628,1,100,90028,Multifamily Housing,31.4,74.2,3599.6,1997
634.6,52,52,188028,1,100,90028,Multifamily Housing,47.4,128.5,5890.1,1928
37.3,-36.2,-36.2,13239,1,100,90021,Fire Station,41.9,98.5,287.3,1980
654,-42.6,-42.6,293422,1,95,90012,Multifamily Housing,36.6,67.2,10942,2004
310.6,39.5,39.5,84306,1,100,91325,Multifamily Housing,58.7,118.9,5341.6,1969
127.6,-11.3,-11.3,48312,1,95,91367,Multifamily Housing,43.6,78.8,2614.8,1971
242.8,-78.5,-78.5,311160,2,100,90017,Office,10.4,31.8,1065.2,1980
783.2,169.9,169.9,80458,2,100,90710,Medical Office,128.7,315,2452,1982
807.1,158.4,158.4,63383,1,100,90027,Medical Office,202.8,411.3,1828,2002
41.6,-46.7,-46.7,40858,1,100,90020,Multifamily Housing,14.5,40.5,3618.3,1971
72.2,-50.3,-50.3,49638,1,100,90028,Office,20.6,57.8,627.9,1921
806,148.6,148.6,168000,1,100,91352,Distribution Center,63.9,196.3,1095.9,1978
225.6,-14,-14,136899,1,95,90028,Multifamily Housing,23.4,65.5,2357.9,2017
627.2,-73.5,-73.5,336441,1,100,91344,Other - Mall,29.8,59.7,314.2,1970
78.8,-52.7,-52.7,53510,1,100,90025,Office,35.3,71.7,927.6,1981
940,-47.2,-47.2,185795,1,100,91367,Office,59.3,180.9,3967.7,2001
422.8,-3.4,-3.4,101300,1,95,90293,Multifamily Housing,55,172.8,12841.8,2004
321.6,-6.9,-6.9,201000,1,80,90013,Distribution Center,21.1,66.2,563.3,1956
18.7,-81.2,-81.2,76215,1,100,91505,Self-Storage Facility,3.7,9,330,1997
72.1,10,10,40800,1,100,91367,Worship Facility,26,66.4,700.2,1977
37.2,-68.8,-68.8,20000,1,100,91405,Multifamily Housing,35,36.8,1805,1958
66.3,-32,-32,29750,1,95,90068,Multifamily Housing,36.6,67.2,1848.3,1923
78.3,39.5,39.5,21244,1,100,91316,Multifamily Housing,58.7,118.9,1346,1959
49.8,-73.9,-73.9,56890,1,100,91331,Office,12.4,34.8,385.2,1979
60.1,-59.2,-59.2,49600,1,95,90057,Multifamily Housing,17.2,48.1,14310.2,1990
13995.4,33.5,33.5,814954,1,100,90027,Hospital (General Medical & Surgical),277,539.6,54344.3,2009
132.2,-2.7,-2.7,48902,1,95,91406,Multifamily Housing,44.2,82.2,989.9,1987
132.5,-23,-23,44000,1,100,90038,Office,42.7,119.7,551.3,1960
316.4,-81.2,-81.2,760086,1,100,90731,Distribution Center,5.5,17.2,3063,2001
160.9,-4.4,-4.4,62182,1,100,90005,Multifamily Housing,43.8,72.6,492.4,1928
500,-13.1,-13.1,154787,5,90,90732,Residential Care Facility,54,93.4,14.1,1962
315.8,-26.5,-26.5,154838,1,95,91325,Multifamily Housing,31.1,68.2,7928,1984
277.3,3.2,3.2,101286,1,90,91601,Multifamily Housing,43.8,87.8,3.9,2007
20.3,-54.2,-54.2,20231,1,100,90035,Multifamily Housing,14.2,39.8,602.9,1964
1614.8,-34.4,-34.4,453805,1,90,91436,Office,52.4,133.3,6831.2,1984
1196,-31.9,-31.9,344044,1,100,90025,Office,49.4,138.2,3917.4,1984
93.6,-21.4,-21.4,52886,4,90,91604,Multifamily Housing,23.3,73.2,1603.8,1965
63.7,-56.8,-56.8,53356,1,95,90057,Multifamily Housing,16.9,47.4,3510.6,1963
121.4,-51.7,-51.7,60000,1,100,90025,Multifamily Housing,33.5,59.9,1453.5,2000
32.4,-80.6,-80.6,30500,1,70,90019,Bank Branch,15.1,42.2,1591854.4,1988
201.7,11.9,11.9,30873,1,85,90038,Office,105.8,203.6,350.1,1928
477.4,-61.9,-61.9,179342,1,100,91367,Office,36.1,106.4,1984.1,2003
179.2,39.5,39.5,48642,1,100,91331,Multifamily Housing,58.7,118.9,3082,1957
2144.3,-41.1,-41.1,565062,1,95,90067,Office,56.4,140.1,7602.3,1968
96.8,-25.2,-25.2,57560,1,95,91325,Multifamily Housing,23.9,66.9,2839.6,1985
223.2,-32.4,-32.4,93335,1,100,90031,Multifamily Housing,39.9,69.6,5.3,2014
284,-7.6,-7.6,87795,1,100,91405,Multifamily Housing,53.5,95.6,5636.6,1978
482.9,14.4,14.4,147500,1,95,91604,Multifamily Housing,44,104.4,5002.8,1996
153.9,-7.1,-7.1,122655,1,100,90502,Distribution Center,16.5,52,611.1,2001
20.5,-28,-28,8615,1,100,90033,Police Station,34.8,90,113.8,1990
63.8,6.5,6.5,21385,1,100,91343,Multifamily Housing,51.2,80.7,849258.3,1962
84.8,-1,-1,25538,1,95,91601,Multifamily Housing,50.4,117.9,1325,2006
1068.5,-38.1,-38.1,237759,1,90,91436,Office,62.6,173.3,4490.6,1986
347.6,-28.5,-28.5,148890,1,95,91403,Multifamily Housing,35.1,80.2,6340.5,1988
1425.2,40.4,40.4,340654,1,95,90028,Multifamily Housing,64.1,146.1,16147.4,2004
284.4,5.6,5.6,118000,1,100,91436,Worship Facility,31.8,99.8,5469.7,1960
